id,titulo
BOE-A-2017-490,"Ley 10/2016, de 1 de diciembre, de medidas de emergencia en relación con las prestaciones económicas del Sistema Público de Servicios Sociales y con el acceso a la vivienda en la Comunidad Autónoma de Aragón."
BOE-A-2020-445,"Decreto-ley 16/2019, de 26 de noviembre, de medidas urgentes para la emergencia climática y el impulso a las energías renovables."
DOGV-r-2020-90356,"Decreto-ley 14/2020, de 7 de agosto, del Consell, de medidas para acelerar la implantación de instalaciones para el aprovechamiento de las energías renovables por la emergencia climática y la necesidad de la urgente reactivación económica."
BOE-A-2016-11022,"Ley 9/2016, de 28 de octubre, de Regulación de los Procedimientos de Emergencia Ciudadana en la Administración de la Comunitat Valenciana."
BOE-A-2005-5754,"Orden FOM/897/2005, de 7 de abril, relativa a la declaración sobre la red y al procedimiento de adjudicación de capacidad de infraestructura ferroviaria."
BOE-A-2025-24011,"Real Decreto 1065/2025, de 26 de noviembre, por el que se desarrolla el régimen del contrato formativo, previsto en el artículo 11 del texto refundido de la Ley del Estatuto de los Trabajadores, aprobado por el Real Decreto Legislativo 2/2015, de 23 de octubre."
BOE-A-2023-14419,"Resolución de 9 de junio de 2023, de la Secretaría de Estado de Energía, por la que se aprueban las reglas del mercado organizado de gas y el contrato de adhesión."
BOE-A-2023-6081,"Real Decreto 157/2023, de 7 de marzo, por el que se establecen las bases reguladoras para la concesión directa de subvenciones para la repoblación de las explotaciones en caso de vaciado sanitario en ovino y caprino por medidas de emergencia ante viruela ovina y caprina."
BOE-A-2021-466,"Decreto-ley 43/2020, de 17 de noviembre, por el cual se habilita el Consejo Catalán del Deporte para el otorgamiento de ayudas extraordinarias y de emergencia para hacer frente a la suspensión de la apertura al público de las instalaciones y de los equipamientos deportivos en Cataluña, se crea el Fondo extraordinario adicional 2020 para los entes locales, y se modifica el Decreto-ley 41/2020, de 10 de noviembre, de medidas extraordinarias de carácter social en centros educativos y en el ámbito de la educación en el ocio y de las actividades extraescolares para hacer frente a la crisis sanitaria, económica y social generada por la COVID-19."
BOE-A-2020-17095,"Resolución de 1 de diciembre de 2020, de la Secretaría de Estado de Educación, por la que se publica el Acuerdo del Consejo de Ministros de 10 de noviembre de 2020, por el que se formalizan los criterios de distribución a las Comunidades Autónomas, aprobados por la Conferencia Sectorial de Educación, así como la distribución resultante del crédito destinado en el año 2020 al Programa de cooperación territorial para la orientación, avance y enriquecimiento educativo en la situación de emergencia educativa del curso 2020-21 provocada por la pandemia del COVID-19: #PROA+ (20-21)."
BOE-A-2020-9632,"Resolución de 31 de julio de 2020, de la Secretaría de Estado de Educación, por la que se publica el Acuerdo del Consejo de Ministros de 21 de julio de 2020, por el que se formalizan los criterios de distribución a las Comunidades Autónomas, aprobados por la Conferencia Sectorial de Educación, así como la distribución resultante del crédito destinado en el año 2020 al Programa de cooperación territorial para la orientación, avance y enriquecimiento educativo en la situación de emergencia educativa del curso 2020-21 provocada por la pandemia del COVID-19: #PROA+ (20-21)."
BOE-A-2020-8299,"Real Decreto 692/2020, de 21 de julio, para la adaptación de la gestión del canon de ocupación y aprovechamiento del dominio público marítimo-terrestre regulado en el artículo 84 de la Ley 22/1988, de 28 de julio, de Costas, a las medidas excepcionales adoptadas por las autoridades sanitarias para hacer frente a la emergencia provocada por el COVID-19."
BOE-A-2020-8080,"Orden ICT/656/2020, de 15 de julio, por la que se establecen las bases reguladoras para la convocatoria de ayudas a entidades que realicen inversiones para la fabricación de dispositivos médicos, equipos de protección personal y aquellos productos que sean considerados de emergencia por el Gobierno en relación con el COVID-19, durante el ejercicio 2020."
BOE-A-2020-8010,"Decreto-ley 7/2020, de 8 de mayo, por el que se establecen medidas urgentes en el ámbito de la educación, para hacer frente a los efectos de la emergencia sanitaria ocasionada por el COVID-19."
